,IRP_Opn,FSO_Opn,FIO_Opn,File_Object,Unique_Files_Accessed,Total_File_Accessed,IRP_Flag,Major_Opn_Type,Status,Inform,Buffer_Length,Entropy,Machine,Category
0,129,10,36,17,11,166,6,9,3,12,537,2,1,0
1,281,36,68,51,21,605,7,10,4,15,46,3,2,0
2,143,18,87,18,9,412,6,8,4,13,610,13,3,0
3,51,0,20,11,4,78,6,6,2,7,141,1,4,0
4,190,48,26,28,26,314,7,10,4,14,919,84,5,0
5,92,24,40,27,18,169,6,9,4,12,1233,5,6,0
6,276,4,78,18,25,549,6,7,2,13,3380,33,7,0
7,414,38,83,37,36,765,9,12,7,29,7474,54,8,0
8,354,100,212,68,47,683,13,12,6,42,4459,36,9,0
9,161,4,14,9,5,203,5,8,4,15,798,25,10,0
10,170,13,27,10,14,205,5,8,4,11,2270,17,11,0
