Ransomware Family,Category,IRP Opn,FSO Opn,FIO Opn,File Object,Unique Files Accessed,Total File Accessed,IRP Flag,Major Opn Type,Status,Inform,Buffer Length,Entropy
Critroni,Malicious,"119,028",191,257,"5,467","10,251","303,082",16,17,13,439,988,"3,965"
Critroni,Benign,190,66,63,40,21,354,8,11,4,22,529,11
Crowti,Malicious,"219,734","116,364","1,166","11,225","16,660","224,861",16,15,11,"1,427","17,621","23,042"
Crowti,Benign,266,162,290,48,22,830,9,11,4,27,556,66
CryptoDefense,Malicious,"131,344","101,837",867,"11,999","17,264","212,562",16,15,11,"1,518","22,765","24,329"
CryptoDefense,Benign,268,136,190,48,21,826,9,11,4,27,599,61
CryptoWall,Malicious,"131,444","95,052","1,015","8,079","15,994","228,009",16,15,11,"1,393","5,708","16,884"
CryptoWall,Benign,263,146,192,47,22,804,8,11,4,27,526,60
Dalexis,Malicious,"217,532",200,980,"8,905","17,431","427,810",14,15,10,349,"1,147","2,912"
Dalexis,Benign,227,118,207,43,21,811,8,11,4,23,459,70
Deshacop,Malicious,"500,284","136,120","7,843","5,158","19,766","508,256",14,15,12,"1,401","3,162","21,810"
Deshacop,Benign,256,144,196,47,21,787,9,11,4,27,472,65
High,Malicious,"417,447","1,178",544,"11,716","19,712","711,972",13,15,10,815,"19,381","44,084"
High,Benign,221,116,152,42,21,662,8,11,4,24,370,40
Parite,Malicious,"406,462","101,702","6,321","5,246","16,921","412,897",14,15,12,"1,616","3,384","19,457"
Parite,Benign,256,148,389,46,21,813,9,11,4,28,499,65
Processhijack,Malicious,"291,645","84,697","4,359","5,806","13,449","296,118",14,15,12,"1,462","2,141","13,989"
Processhijack,Benign,238,94,139,40,21,582,8,11,4,21,478,34
Pwszbot,Malicious,"96,803","85,176",490,"9,626","15,473","262,780",15,15,11,"1,605","5,617","15,825"
Pwszbot,Benign,256,116,127,49,22,577,8,11,4,21,512,22
Seven,Malicious,"175,124","152,269",942,"10,637","17,509","272,084",16,15,11,"1,413","15,649","23,448"
Seven,Benign,264,132,157,46,22,805,8,11,4,26,502,56
TeslaCrypt,Malicious,"611,678","267,387","26,953","32,708","30,564","638,757",14,15,11,882,"3,759","21,472"
TeslaCrypt,Benign,250,94,86,42,21,519,8,11,4,26,579,30
Tinba,Malicious,"653,943","194,433","27,630","9,044","35,162","681,707",14,15,14,"2,334","12,042","47,949"
Tinba,Benign,255,165,420,46,21,812,8,11,4,27,466,74
Tpyn,Malicious,"177,600","65,748","1,612","7,546","10,917","179,402",16,16,11,"1,615","6,206","16,158"
Tpyn,Benign,260,135,154,48,22,707,8,11,4,26,448,22
Upatre,Malicious,"131,771","99,159",905,"10,650","16,267","202,118",16,15,11,"1,343","10,417","19,381"
Upatre,Benign,265,147,195,48,21,826,8,11,4,27,527,62
Vobfus,Malicious,"297,730",138,444,"11,280","14,193","438,984",12,14,7,730,"6,722","20,453"
Vobfus,Benign,220,84,137,32,21,427,7,11,4,17,350,30
Yakes,Malicious,"177,218","92,796","1,159","8,869","13,101","192,897",16,15,11,"1,499","8,105","19,401"
Yakes,Benign,266,148,198,48,22,827,9,11,4,27,535,61
Zbot,Malicious,"166,258","104,951",888,"10,629","16,457","208,110",16,15,11,"1,347","13,302","22,757"
Zbot,Benign,266,135,163,48,22,780,8,11,4,27,559,53
Median Results,Malicious,"197,566","97,106",998,"9,335","16,558","284,101",15,15,11,"1,407","6,464","19,955"
,Benign,256,135,176,47,21,796,8,11,4,27,507,58
